# Derivatives solution step at time 0 performed in 0 iterations with 0 error
# Key for lines starting with "Step":
# Step Time TStep NIter ResErr SolErr SolConv Out
Step 0 0 0 0 0 0 0 1
Step 1 0.005 0.005 0 0 0 0 1
Info: 0, success BALANC="P" ILO=7 IHI=342 ABNRM=5.87495e+08 BBNRM=5.87847e+08
Mode n.       Real           Imag             Damp %     Freq Hz
     122:     -6952.39 +            0 j             100               0
     123:      -220263 +            0 j             100               0
     124:      -218356 +            0 j             100               0
     125:      -251688 +            0 j             100               0
     126:      -244283 +            0 j             100               0
     127:     -6874.73 +            0 j             100               0
     128:      -280252 +            0 j             100               0
     129:      -309740 +            0 j             100               0
     130:      -333376 +            0 j             100               0
     131:     -6876.85 +            0 j             100               0
     132:      -6853.7 +            0 j             100               0
     133:     -6848.02 +            0 j             100               0
     134:     -6829.08 +            0 j             100               0
     135:     -6813.13 +            0 j             100               0
     136:     -6802.12 +            0 j             100               0
     137:     -6792.92 +            0 j             100               0
     138:      -359055 +            0 j             100               0
     139:      -439800 +            0 j             100               0
     140:      -373232 +            0 j             100               0
     141:      -581359 +            0 j             100               0
     142:     -6787.96 +            0 j             100               0
     143:     -6769.27 +            0 j             100               0
     144:     -6743.98 +            0 j             100               0
     145:      -829870 +            0 j             100               0
     146:      -6720.8 +            0 j             100               0
     147:     -6716.38 +            0 j             100               0
     148:      -903983 +            0 j             100               0
     149: -1.06394e+06 +      384.844 j             100         61.2499
     150: -1.06394e+06 +     -384.844 j             100        -61.2499
     151: -1.14652e+06 +            0 j             100               0
     152:      -959750 +            0 j             100               0
     153:      -966412 +            0 j             100               0
     154:      -970410 +       1164.7 j         99.9999         185.368
     155:      -970410 +      -1164.7 j         99.9999        -185.368
     156: -1.35601e+06 +            0 j             100               0
     157: -1.35971e+06 +            0 j             100               0
     158:     -6712.68 +            0 j             100               0
     159:     -6713.29 +            0 j             100               0
     160:     -6712.69 +            0 j             100               0
     161:     -6712.94 +            0 j             100               0
     162:     -6705.57 +            0 j             100               0
     163:     -6708.69 +            0 j             100               0
     164:     -6708.69 +            0 j             100               0
     165:     -6699.59 +            0 j             100               0
     166:     -6693.16 +            0 j             100               0
     167:     -6699.59 +            0 j             100               0
     168: -1.68354e+06 +            0 j             100               0
     169: -1.91736e+06 +            0 j             100               0
     170: -1.89617e+06 +            0 j             100               0
     171:     -6690.27 +            0 j             100               0
     172:     -6689.88 +            0 j             100               0
     173: -2.16839e+06 +            0 j             100               0
     174: -2.17137e+06 +            0 j             100               0
     175: -2.18937e+06 +            0 j             100               0
     176: -2.20656e+06 +            0 j             100               0
     177: -2.26479e+06 +            0 j             100               0
     178: -2.30196e+06 +            0 j             100               0
     179: -2.38028e+06 +            0 j             100               0
     180: -2.56297e+06 +            0 j             100               0
     181: -2.58971e+06 +            0 j             100               0
     182: -2.67856e+06 +            0 j             100               0
     183:     -6686.94 +            0 j             100               0
     184:     -6686.95 +            0 j             100               0
     185:     -6687.19 +  0.000244457 j             100     3.89066e-05
     186:     -6687.19 + -0.000244457 j             100    -3.89066e-05
     187:     -6686.26 +            0 j             100               0
     188:     -6685.85 +            0 j             100               0
     189:     -6685.98 +            0 j             100               0
     190:     -6684.05 +            0 j             100               0
     191:     -6683.98 +            0 j             100               0
     192:     -6683.36 +            0 j             100               0
     193: -2.84314e+06 +            0 j             100               0
     194: -2.86631e+06 +            0 j             100               0
     195:      -6682.3 +            0 j             100               0
     196:     -6682.05 +            0 j             100               0
     197:     -6681.38 +            0 j             100               0
     198:     -6681.18 +            0 j             100               0
     199: -3.04788e+06 +            0 j             100               0
     200: -3.00542e+06 +            0 j             100               0
     201: -3.19138e+06 +            0 j             100               0
     202: -3.28127e+06 +            0 j             100               0
     203: -3.20485e+06 +            0 j             100               0
     204: -3.31251e+06 +            0 j             100               0
     205: -4.09283e+06 +       428010 j         99.4576           68120
     206: -4.09283e+06 +      -428010 j         99.4576          -68120
     207: -3.37557e+06 +            0 j             100               0
     208: -3.43418e+06 +            0 j             100               0
     209: -3.54055e+06 +            0 j             100               0
     210: -3.40942e+06 +            0 j             100               0
     211: -4.08693e+06 +            0 j             100               0
     212: -4.18431e+06 +            0 j             100               0
     213: -4.39348e+06 +      91023.1 j         99.9785         14486.8
     214: -4.39348e+06 +     -91023.1 j         99.9785        -14486.8
     215: -3.90656e+06 +            0 j             100               0
     216: -3.78774e+06 +      42356.1 j         99.9937         6741.18
     217: -3.78774e+06 +     -42356.1 j         99.9937        -6741.18
     218: -3.78048e+06 +            0 j             100               0
     219: -3.76685e+06 +            0 j             100               0
     220: -3.67733e+06 +            0 j             100               0
     221:  -3.7009e+06 +            0 j             100               0
     222: -4.49746e+06 +            0 j             100               0
     223: -3.69547e+06 +            0 j             100               0
     224:  -4.8976e+06 +            0 j             100               0
     225: -4.92211e+06 +            0 j             100               0
     226: -5.13059e+06 +            0 j             100               0
     227: -4.81442e+06 +            0 j             100               0
     228: -5.52051e+06 +            0 j             100               0
     229: -7.65138e+06 +            0 j             100               0
     230: -5.85305e+06 +      50279.9 j         99.9963         8002.29
